movieId,canonical_movieId,tmdbId,title,rating_count,tag_count
144606,6003,4912,Confessions of a Dangerous Mind,410,268
178755,34330,9775,November,6,6
174533,4241,10991,Pokémon 3: The Movie,92,70
174543,5672,12600,Pokémon 4Ever,53,49
202599,33154,13020,Enron: The Smartest Guys in the Room,131,16
144426,5264,15028,Clockstoppers,64,6
181751,6776,19666,Lagaan: Once Upon a Time in India,160,7
222065,145972,21753,Everything You Want,2,0
232217,79329,24487,Passing Strange,5,0
191775,66511,30508,Berlin Calling,24,0
137813,65633,34696,Fuel,1,1
137809,93928,39172,After,2,0
219145,144858,45555,God's Angry Man,5,0
213187,110515,46667,Superdad,0,1
258991,200908,58451,The Adventures of Pinocchio,1,0
181393,895,79782,Venice,3,0
103208,2679,84198,A Place at the Table,21,3
163246,70155,97995,Seven Years Bad Luck,6,0
134006,864,132641,Wife,3,6
272905,7396,133919,Scenes from a Marriage,16,0
275753,167510,159898,The Boxing Cats,3,0
266856,176543,264068,That's Sexploitation!,1,0
175813,114342,265189,Force Majeure,433,15
162632,142861,298721,Cemetery of Splendor,35,5
215011,148976,372631,Marvel Super Hero Adventures: Frost Fight!,5,0
215119,174527,411012,Chasing Trane,4,0
218855,168000,411081,Summer Love,2,0
195339,208020,412862,Ratsasan,2,0
187127,163585,413765,David Lynch: The Art Life,47,20
258279,203218,521777,Good Boys,74,0
215891,203453,542757,Hope You Die Next Time :-),5,0
229671,204294,566222,The Great Hack,25,0
206117,203449,604196,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,24,0
258689,254100,642732,Roadrunner: A Film About Anthony Bourdain,14,0
239670,242100,792517,Hate by Dani Rovira,3,0
