tagIndex,tag_clean,event_count,movie_count,user_count
0,!950's superman tv show,1,1,1
1,!david o. russell,1,1,1
2,!george clooney,1,1,1
3,!george lucas,1,1,1
4,"""a christmas carol""",1,1,1
5,"""a mã£o-de-deus""",1,1,1
6,"""artsy""",2,1,2
7,"""bad cia""-- too simplistic",2,2,2
8,"""based on true events""",2,2,2
9,"""comédie""",1,1,1
10,"""damn dirty apes""",10,4,7
11,"""do your thing cuz""",1,1,1
12,"""duck and cover!""",2,2,1
13,"""eccentric genius""",1,1,1
14,"""found footage""",63,6,54
15,"""hero"" is murderer",1,1,1
16,"""i need a computer.""",1,1,1
17,"""inspired"" by a book",1,1,1
18,"""it wasn't expecially large, but it felt hard""",1,1,1
19,"""jack black""",1,1,1
20,"""jackie chan"" ""chris tucker""",1,1,1
21,"""jessica biel is hot like hell""",1,1,1
22,"""less than an hour of air"" yeah more like 10 minutes actually.",1,1,1
23,"""lost"" film",1,1,1
24,"""magic negro"" stereotype",1,1,1
25,"""may""-weirdness -- not as good",1,1,1
26,"""meet me in montauk""",1,1,1
27,"""middlebrow"" attempt at ""intelligent"" ending",1,1,1
28,"""never happened"" scenes",1,1,1
29,"""no high heels on the hardwood floors!""",2,1,2
30,"""no matter how i eat, i am fat anyway""",1,1,1
31,"""nobody with a good car needs to be justified.""",1,1,1
32,"""not so perfect""",8,8,1
33,"""nut up or shut up""",2,1,2
34,"""oh yah""",1,1,1
35,"""owen wilson""",2,1,2
36,"""peace",1,1,1
37,"""piggy""",1,1,1
38,"""potty"" jokes",6,3,6
39,"""retrofitted"" future",2,1,2
40,"""rosebud""",1,1,1
41,"""save the world"" plot",1,1,1
42,"""show me the money.""",3,1,3
43,"""skill is money""",1,1,1
44,"""so long, suckers!""",1,1,1
45,"""testosterone poisoning""",2,1,2
46,"""the bombardment""",1,1,1
47,"""the hunter""",5,4,2
48,"""we're on a mission from god""",1,1,1
49,"""you had me ay ""hello""",1,1,1
50,#1 prediction,3,1,3
51,#adventure,1,1,1
52,#antichrist,1,1,1
53,#boring,1,1,1
54,#boring #lukeiamyourfather,1,1,1
55,#classic,1,1,1
56,#danish,2,1,2
57,#documentary,1,1,1
58,#entertaining,1,1,1
59,#exorcism,1,1,1
60,#fantasy,3,1,3
61,#hanks #muchstories,1,1,1
62,#jesus,1,1,1
63,#lukeiamyourfather,1,1,1
64,#metoo,2,2,2
65,#mindfulness,1,1,1
66,#notscary,1,1,1
67,#rap,1,1,1
68,#science,1,1,1
69,#scifi,1,1,1
70,#space,1,1,1
71,#thriling,1,1,1
72,#thriller #suspense #disjointed #boring,1,1,1
73,#timesup,1,1,1
74,#tosee,1,1,1
75,#vatican city,1,1,1
76,#wtf,1,1,1
77,#zen,1,1,1
78,"$1,000,000 prize",1,1,1
79,&suspense,1,1,1
80,'50's,1,1,1
81,'60s feel,13,3,13
82,'70s pacino,1,1,1
83,'80s,2,1,2
84,'80s soundtrack,1,1,1
85,'90s nostalgia,1,1,1
86,'aka: i will never get those 2 hours back...ever',2,1,2
87,'dick',1,1,1
88,'dick' just isn't funny,2,2,1
89,'i love you anna!',1,1,1
90,'i will give my kingdom for a great piece of twat!',1,1,1
91,'in your face' violence,1,1,1
92,'more like skankwalkers',1,1,1
93,'ndràngheta,1,1,1
94,'please tell me we brought the lighter...please',1,1,1
95,'sexy',4,1,4
96,'the weapon',1,1,1
97,'true art is angst' trope,1,1,1
98,(esg) compliant,1,1,1
99,(mostly) for kids,1,1,1
100,(not really) a true story,1,1,1
101,(s)vcd,33,32,2
102,(too) slow-paced,1,1,1
103,************************,2,2,1
104,*good* musicals,9,7,3
105,*reps*,1,1,1
106,+++++++++++++++,1,1,1
107,",music business",1,1,1
108,.,1,1,1
109,...and this film has got nothing to with the action flick starring rutger hauer,1,1,1
110,...but not quite,1,1,1
111,...to pay me to watch this again.,1,1,1
112,.357 magnum,1,1,1
113,.38 snubnose revolver,1,1,1
114,.44 magnum,2,2,1
115,.45 automatic,2,2,1
116,.45 calibre pistol,1,1,1
117,.50 calibre sniper rifle,1,1,1
118,/b/,2,2,2
119,/suspense,1,1,1
120,0 gravity,3,1,3
121,0 stars,1,1,1
122,007,308,26,118
123,007 (series),83,22,49
124,007-like,1,1,1
125,01.02.05,1,1,1
126,01.03.06,1,1,1
127,01.04.06,1,1,1
128,01.10.05,1,1,1
129,01/10,77,77,1
130,01/11,167,166,2
131,01/12,113,113,1
132,01/14,1,1,1
133,01/15,5,5,1
134,02.04.06,1,1,1
135,02/10,54,54,1
136,02/11,159,159,1
137,02/14,1,1,1
138,02/15,5,5,1
139,03/09,27,27,1
140,03/10,90,90,1
141,03/11,169,169,1
142,03/15,7,7,1
143,04.03.06,1,1,1
144,04.04.06,1,1,1
145,04/09,10,10,1
146,04/10,6,6,1
147,04/11,95,95,1
148,04/14,1,1,1
149,04/15,5,5,1
150,05.02.06,1,1,1
151,05.03.06,1,1,1
152,05.04.06,1,1,1
153,05/09,6,6,1
154,05/10,83,82,2
155,05/11,168,168,1
156,05/13,1,1,1
157,05/14,2,2,1
158,06 oscar nominated best movie,5,5,1
159,06 oscar nominated best movie - animation,9,4,5
160,06 oscar nominated best movie - foreign language,2,1,2
161,06.04.06,1,1,1
162,06/09,7,7,1
163,06/10,86,84,3
164,06/11,189,189,1
165,06/13,1,1,1
166,06/14,2,2,1
167,07.01.06,2,2,1
168,07.02.06,1,1,1
169,07.04.06,1,1,1
170,07.05.06,1,1,1
171,07/09,6,6,1
172,07/10,52,52,1
173,077,3,3,1
174,08.02.06,1,1,1
175,08.05.06,1,1,1
176,08/09,15,15,1
177,08/10,90,90,1
178,08/13,1,1,1
179,09.01.06,1,1,1
180,09.02.06,1,1,1
181,09.03.06,1,1,1
182,09.05.06,1,1,1
183,09/09,11,11,1
184,09/10,60,60,1
185,1,23,22,4
186,1 million b.c.,1,1,1
187,1 month later,1,1,1
